Kaerahelbed jämedad 3kg VM;Kaerahelbed;3000
Majonees PROVANSAAL 430g tops;Majonees 40,5%;430
Vaniljesuhkur 1000g;Vaniljesuhkur;1000
Kiirkaerahelbed 500g Haljas;Kaerahelbed;500
"Dr.Hellus Haps Marja 1,0 2,5% TPT";Haps;1000
Marjasegu (6marja) 2,5kg GG;Marjad (külmutatud);2500
"Külm.hakkliha 1,0   Vanaema köök";Hakkliha (sea-veise);1000
Kanamunad M Läti APF Trading;Muna;1000
"Kõrvitsakuubid koduses mar.3,1kg Felix";Kõrvits (marineeritud);3100
Rehe rukkileib viilutatud 600g;Leib (keskmiselt);1000
"OLIVIA Rapsiõli 1,0";Toiduõli;1000
"Väike sarveke 3,0 VM";Makaronid;3000
Ruks Hele seemneleib 290g 8/4 Leibur;Teraleib;290
Tatar 3kg TM;Tatratangud;3000
"Krabinuudlid 1,0 külm.Vici";Makra;1000
PÕLTSAMAA Virsiku/mangonektar 1l;Aprikoosimehu;1000
ARDO Petersell 250g;Maitseroheline;250
ARDO Till 250g;Till;250
KATI Maisimanna 1kg;Maisimanna;1000
VESKI MATI Täistera riivleib 3kg;Riivleib;3000
TARTU MILL Pudruriis 3kg;Riis;3000
NÄKS NÄKS Rosin Sultana 1kg;Rosinad;1000
KALEV Piimašokolaad Mesikäpp vahvliga 300g;Kommid;300
KALEV Valge šokolaad õhitud riisi ja mustikatükkidega 200g;Kommid;200
KALEV Piimašokolaad Anneke 300g;Kommid;300
BELLA ROSA Punane Kidney uba 2,5kg;Oakonserv;2500
OLIVIA Rapsiõli 1l;Toiduõli;1000
PJ Mugulsibul kg;Sibul;1000
RAKVERE Viru keedusink kg (kang);Sink (sea, keedu);1000
Seakaelakarbonaad  külm. IE;Sealiha (keskmiselt);1000
Veisemaksa stroganov ca2kg Karjamõisa;Maks (veise);1000
Brüsseli kapsas 450g Iglotex;Valge peakapsas;450
Julienne mix 2,5kgx4 -18c;Juurviljasegu (külmutatud, keskmiselt);2500
Köögivilja segu 2,5kg KOOL Bonduelle -18c;Juurviljasegu (külmutatud, keskmiselt);2500
Rohelised herned 2,5kg IFQ -18c;Juurviljasegu (külmutatud, keskmiselt);2500
Stl.1471 18.10.17;!!!ÄRA SISESTA ANCsse!!!;1000
NUIKAPSAS ,Eesti;Nuikapsas;1000
AEDTILL Itaalia;Till;1000
Stl.1520 25.10.17;!!!ÄRA SISESTA ANCsse!!!;1000
KAPSAS värske, Eesti;Valge peakapsas;1000
Stl.1555 30.10.17;!!!ÄRA SISESTA ANCsse!!!;1000
BANAAN, Kolumbia;Banaan;1000
KURK kiles,Luunja;Kurk;1000
Virsikud (pool) 2650g/1500g Lorado;Virsikukonserv;2650
Mini poolsuitsuvorst VIIL  1,5kg (ca378viilu) Nõo;Poolsuitsuvorst;1000
Kooritud kaalikas;Kaalikas;1000
ALMA Keefir 2,5% 1kg(kile);Keefir 2,5%;1000
PJ Tomat kg;Tomat;1000
LEIBUR Ruks vormileib 600g(viil);Leib (keskmiselt);1000
TARTU MILL Kodune keeks 450g;Keeksipulber;450
BOOGIE Lehmakomm 1kg;Kommid;1000
GRANORO Spiraalid 3kg;Makaronid;3000
LA MARGHERITA Purustatud tomatid 2,5kg;Tomat;2500
EESTI PAGAR Perenaise sai 320g(viil);Sai (keskmiselt);1000
PJ Kumato tomat 500g;Tomat;500
"Eriti hea nisujahu 2,0 Veski Mati";Nisujahu;2000
Felix Tomatiketsup 1000g;Ketšup;1000
Pun.Kidney oad 2500/1500g  LM;Oakonserv;2500
Tõmmu pools.vorst ca500gWõro;Poolsuitsuvorst;1000
Tärklis Minu 400g;Kartulitärklis;400
Riisihelbed 4kg VM;Riisihelbed;4000
"Aura Virsikunektar 1,0l";Aprikoosimehu;1000
Saib viil 370g 7 Leibur;SAIB;370
Farmi Koorene maitseta jogurt 5% 400g;Jogurt 2,2% (maitsestamata);400
Salvest Salatikurk 520g;Kurk (konserveeritud);520
Must vormileib 600g Eesti Pagar 10/5;Leib (keskmiselt);1000
PÄHKLINÄPP Maapähklid 500g;Pähklid (keskmiselt);500
KATI Hernes 1kg(kollane,lihvitud);Hernes (kuivatatud);1000
KAARLI Suitsuribi rohke lihaga kg(MAP);Searibi;1000
RAKVERE Suitsupeekon kg(terk);Suitsusink (sealihast);1000
RAKVERE Valla suitsupõsk kamaraga kg(vaakum);Suitsusink (sealihast);1000
GRANORO Supitäheke 500g;Makaronid;500
MELISSA Primo gusto sarvekesed (100%) 500g;Makaronid;500
VESKI MATI Odrakruup 1kg;Odrakruup;1000
SALVEST Tükeldatud kurk 4,1kg;Kurk (konserveeritud);4100
RAKVERE Doktori Keeduvorst kg(kang);Vorst keedu (keskmiselt);1000
BI VITA Kummelitee 20x1,2g(niidita);Teepuru;24
LIPTON Kummelitee 25x1g (fooliumis);Teepuru;25
BI VITA Piparmünditee 20x1,5g(niidita);Teepuru;30
BELIN Pärnaõietee 20x1,5g;Teepuru;30
FAZER Südamesepik 340g;Sepik;1000
Lõhetükid nahata 7,5kg. plokk Norra/real:31.01.2019 ...-18*C;Lõhe/forell;1000
RÖST Kuldne klassik.sai 500g 7 Leibur;Sai (keskmiselt);1000
"Keedusink ""Sikassaare""";Sink (sea, keedu);1000
Troop.Apelsininektar 1l Põltsamaa;Apelsinimahl;1000
Riis pikateraline 1kg Tartu Mill;Riis;1000
"Äädikas 30% 0,5l";Äädikas;500
Vaarikad 95/5 klass A  2,5kg-18c PL;Marjad (külmutatud);2500
Valio riivjuust 4kg;Juust (keskmise rasvasusega);4000
FARMI Maitsestamata koorene jogurt 5% 1kg(pure);Jogurt 2,2% (maitsestamata);1000
JAPS Äädikas 30% 0,5l(plastpudel);Äädikas;500
SÖÖGISOODA 500g(karp);Söögisooda;500
LEIBUR Kaerasepik 300g;Sepik;1000
FAZER Peen vormileib 550g (viil);Leib (keskmiselt);1000
MEREVAIK Sulatatud juust 18,5% 200g;Sulatatud juust (keskmise rasvasusega);200
FELIX Tomatiketšup 2,5kg(kotis);Ketšup;2500
SM Hakklihamaitseaine 850g(plastpurk);Maitseained (keskmiselt);850
SM Puljongimaitseaine 845g (pure);Maitseained (keskmiselt);845
KALEV Piimašokolaad krõbedate küpsisepallidega 300g;Kommid;300
EESTI PAGAR Must vormileib 600g(viil);Leib (keskmiselt);1000
Kodune hakkliha 1kg EE -18c;Hakkliha (sea-veise);1000
Kodune hakkliha 1kg Lepiku -18c;Hakkliha (sea-veise);1000
Stl.1629 08.11.17;!!!ÄRA SISESTA ANCsse!!!;1000
BANAAN, Costa Rica;Banaan;1000
Durum nisujahu 1kg TM;Nisujahu;1000
Marineeritud peet viil 4,4kg Salvest;Punane peet;4400
Pasta durum Fusilli 5kg Tartu Mill;Makaronid;5000
Pasta durum Penne 5,0 Tartu Mill";Makaronid;5000
Seaabaliha 88% külm.~20.0 DE;Sealiha (keskmiselt);1000
RAKVERE Sea kaelakarbonaad kg (vaakumis);Sealiha (keskmiselt);1000
FOOD INDEX Ploomikompott (poolikud) 4,2kg(klaas);Kompott;4200
TERE Hapukoor 20% 1kg(kile);Hapukoor 20%;1000
TARTU MILL Kaerahelbed 3kg;Kaerahelbed;3000
ARDO Paprika segu 2,5kg;Paprika;2500
VESKI MATI Manna 500g;Manna;500
SM Küpsetuspulber 915g(plastpurk);Küpsetuspulber;915
BALSNACK Kamapallid 100g;Kamapallid;100
"Alma  maitseta jog.2,5% 1,0 kile";Jogurt 2,2% (maitsestamata);1000
5-viljahelbed 500g Haljas;Viieviljahelbed;500
Manna 1kg Tartu Mill;Manna;1000
Manna 3kg Tartu Mill;Manna;3000
OHO Hommikusöök terav.helbed kakaoga 500;Teraviljahelbed;500
Chippy maisihelbed 500g;Maisihelbed;500
Heeringafilee trad.1kg/790g Vici;Heeringas (soolatud);1000
